,collection,case,stream,variable,path
0,epoch_mean,b.e21.BHIST.f09_g17.CMIP6-historical.001,pop.h,ABIO_DIC14,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BHIST.f09_g17.CMIP6-historical.001/ocn/proc/tseries/month_1/b.e21.BHIST.f09_g17.CMIP6-historical.001.pop.h.ABIO_DIC14.185001-201412.nc
1,epoch_mean,b.e21.BHIST.f09_g17.CMIP6-historical.002,pop.h,ABIO_DIC14,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BHIST.f09_g17.CMIP6-historical.002/ocn/proc/tseries/month_1/b.e21.BHIST.f09_g17.CMIP6-historical.002.pop.h.ABIO_DIC14.185001-201412.nc
2,epoch_mean,b.e21.BHIST.f09_g17.CMIP6-historical.003,pop.h,ABIO_DIC14,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BHIST.f09_g17.CMIP6-historical.003/ocn/proc/tseries/month_1/b.e21.BHIST.f09_g17.CMIP6-historical.003.pop.h.ABIO_DIC14.185001-201412.nc
3,epoch_mean,b.e21.BHIST.f09_g17.CMIP6-historical.004,pop.h,ABIO_DIC14,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BHIST.f09_g17.CMIP6-historical.004/ocn/proc/tseries/month_1/b.e21.BHIST.f09_g17.CMIP6-historical.004.pop.h.ABIO_DIC14.185001-201412.nc
4,epoch_mean,b.e21.BHIST.f09_g17.CMIP6-historical.005,pop.h,ABIO_DIC14,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BHIST.f09_g17.CMIP6-historical.005/ocn/proc/tseries/month_1/b.e21.BHIST.f09_g17.CMIP6-historical.005.pop.h.ABIO_DIC14.185001-201412.nc
5,epoch_mean,b.e21.BHIST.f09_g17.CMIP6-historical.006,pop.h,ABIO_DIC14,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BHIST.f09_g17.CMIP6-historical.006/ocn/proc/tseries/month_1/b.e21.BHIST.f09_g17.CMIP6-historical.006.pop.h.ABIO_DIC14.185001-201412.nc
6,epoch_mean,b.e21.BHIST.f09_g17.CMIP6-historical.007,pop.h,ABIO_DIC14,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BHIST.f09_g17.CMIP6-historical.007/ocn/proc/tseries/month_1/b.e21.BHIST.f09_g17.CMIP6-historical.007.pop.h.ABIO_DIC14.185001-189912.nc
7,epoch_mean,b.e21.BHIST.f09_g17.CMIP6-historical.007,pop.h,ABIO_DIC14,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BHIST.f09_g17.CMIP6-historical.007/ocn/proc/tseries/month_1/b.e21.BHIST.f09_g17.CMIP6-historical.007.pop.h.ABIO_DIC14.190001-194912.nc
8,epoch_mean,b.e21.BHIST.f09_g17.CMIP6-historical.007,pop.h,ABIO_DIC14,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BHIST.f09_g17.CMIP6-historical.007/ocn/proc/tseries/month_1/b.e21.BHIST.f09_g17.CMIP6-historical.007.pop.h.ABIO_DIC14.195001-199912.nc
9,epoch_mean,b.e21.BHIST.f09_g17.CMIP6-historical.007,pop.h,ABIO_DIC14,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BHIST.f09_g17.CMIP6-historical.007/ocn/proc/tseries/month_1/b.e21.BHIST.f09_g17.CMIP6-historical.007.pop.h.ABIO_DIC14.200001-201412.nc
10,epoch_mean,b.e21.BHIST.f09_g17.CMIP6-historical.008,pop.h,ABIO_DIC14,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BHIST.f09_g17.CMIP6-historical.008/ocn/proc/tseries/month_1/b.e21.BHIST.f09_g17.CMIP6-historical.008.pop.h.ABIO_DIC14.185001-189912.nc
11,epoch_mean,b.e21.BHIST.f09_g17.CMIP6-historical.008,pop.h,ABIO_DIC14,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BHIST.f09_g17.CMIP6-historical.008/ocn/proc/tseries/month_1/b.e21.BHIST.f09_g17.CMIP6-historical.008.pop.h.ABIO_DIC14.190001-194912.nc
12,epoch_mean,b.e21.BHIST.f09_g17.CMIP6-historical.008,pop.h,ABIO_DIC14,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BHIST.f09_g17.CMIP6-historical.008/ocn/proc/tseries/month_1/b.e21.BHIST.f09_g17.CMIP6-historical.008.pop.h.ABIO_DIC14.195001-199912.nc
13,epoch_mean,b.e21.BHIST.f09_g17.CMIP6-historical.008,pop.h,ABIO_DIC14,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BHIST.f09_g17.CMIP6-historical.008/ocn/proc/tseries/month_1/b.e21.BHIST.f09_g17.CMIP6-historical.008.pop.h.ABIO_DIC14.200001-201412.nc
14,epoch_mean,b.e21.BHIST.f09_g17.CMIP6-historical.009,pop.h,ABIO_DIC14,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BHIST.f09_g17.CMIP6-historical.009/ocn/proc/tseries/month_1/b.e21.BHIST.f09_g17.CMIP6-historical.009.pop.h.ABIO_DIC14.185001-189912.nc
15,epoch_mean,b.e21.BHIST.f09_g17.CMIP6-historical.009,pop.h,ABIO_DIC14,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BHIST.f09_g17.CMIP6-historical.009/ocn/proc/tseries/month_1/b.e21.BHIST.f09_g17.CMIP6-historical.009.pop.h.ABIO_DIC14.190001-194912.nc
16,epoch_mean,b.e21.BHIST.f09_g17.CMIP6-historical.009,pop.h,ABIO_DIC14,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BHIST.f09_g17.CMIP6-historical.009/ocn/proc/tseries/month_1/b.e21.BHIST.f09_g17.CMIP6-historical.009.pop.h.ABIO_DIC14.195001-199912.nc
17,epoch_mean,b.e21.BHIST.f09_g17.CMIP6-historical.009,pop.h,ABIO_DIC14,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BHIST.f09_g17.CMIP6-historical.009/ocn/proc/tseries/month_1/b.e21.BHIST.f09_g17.CMIP6-historical.009.pop.h.ABIO_DIC14.200001-201412.nc
18,epoch_mean,b.e21.BHIST.f09_g17.CMIP6-historical.010,pop.h,ABIO_DIC14,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BHIST.f09_g17.CMIP6-historical.010/ocn/proc/tseries/month_1/b.e21.BHIST.f09_g17.CMIP6-historical.010.pop.h.ABIO_DIC14.185001-189912.nc
