month,lon,lat,depth,don,dop,doc
3,-49.30228,-35.08802,11.9,3.05,0.015,-999.0
3,-49.30228,-35.08802,28.3,5.14,0.132,-999.0
3,-49.30228,-35.08802,41.7,4.19,0.12,-999.0
3,-49.30228,-35.08802,45.1,4.79,0.118,-999.0
3,-49.30228,-35.08802,49.6,3.51,-999.0,-999.0
3,-49.30228,-35.08802,71.6,5.83,0.186,-999.0
3,-49.30228,-35.08802,140.0,3.28,0.075,-999.0
3,-49.30228,-35.08802,189.8,5.23,0.135,-999.0
3,-43.02333,-29.0474,11.1,-999.0,0.394,-999.0
3,-43.02333,-29.0474,17.2,-999.0,-999.0,-999.0
3,-43.02333,-29.0474,21.8,-999.0,-999.0,-999.0
3,-43.02333,-29.0474,46.6,-999.0,0.388,-999.0
3,-43.02333,-29.0474,61.0,-999.0,-999.0,-999.0
3,-43.02333,-29.0474,76.0,-999.0,-999.0,-999.0
3,-43.02333,-29.0474,89.8,-999.0,-999.0,-999.0
3,-43.02333,-29.0474,130.2,-999.0,-999.0,-999.0
3,-43.02333,-29.0474,149.0,-999.0,-999.0,-999.0
3,-43.02333,-29.0474,198.3,-999.0,-999.0,-999.0
3,-36.83975,-22.2481,9.2,3.34,0.086,-999.0
3,-36.83975,-22.2481,22.4,3.34,-999.0,-999.0
3,-36.83975,-22.2481,32.5,4.4,0.16,-999.0
3,-36.83975,-22.2481,37.8,2.7,0.029,-999.0
3,-36.83975,-22.2481,47.3,2.83,0.015,-999.0
3,-36.83975,-22.2481,82.4,5.04,0.03,-999.0
3,-36.83975,-22.2481,92.3,-999.0,0.017,-999.0
3,-36.83975,-22.2481,107.2,-999.0,0.027,-999.0
3,-36.83975,-22.2481,136.6,2.43,0.02,-999.0
3,-36.83975,-22.2481,175.9,-999.0,0.022,-999.0
3,-36.83975,-22.2481,251.3,3.84,-999.0,-999.0
3,-32.65223,-14.18388,9.5,3.16,-999.0,-999.0
3,-32.65223,-14.18388,17.8,4.56,-999.0,-999.0
3,-32.65223,-14.18388,22.2,4.22,0.13,-999.0
3,-32.65223,-14.18388,32.3,2.97,-999.0,-999.0
3,-32.65223,-14.18388,57.2,2.96,-999.0,-999.0
3,-32.65223,-14.18388,66.5,-999.0,0.055,-999.0
3,-32.65223,-14.18388,101.9,1.65,0.035,-999.0
3,-32.65223,-14.18388,126.3,-999.0,-999.0,-999.0
3,-32.65223,-14.18388,136.4,1.92,0.056,-999.0
3,-32.65223,-14.18388,151.6,3.93,0.14,-999.0
3,-32.65223,-14.18388,176.1,2.27,-999.0,-999.0
3,-32.65223,-14.18388,250.0,2.09,0.02,-999.0
3,-32.32762,-13.51312,28.0,5.46,-999.0,-999.0
3,-32.32762,-13.51312,102.4,6.97,-999.0,-999.0
3,-32.32762,-13.51312,132.5,5.11,-999.0,-999.0
3,-32.32762,-13.51312,152.2,-999.0,-999.0,-999.0
3,-32.32762,-13.51312,181.6,4.81,0.136,-999.0
3,-32.32762,-13.51312,230.4,3.9,0.054,-999.0
3,-32.32762,-13.51312,296.3,3.8,0.015,-999.0
3,-32.32762,-13.51312,489.4,1.96,0.01,-999.0
3,-32.32762,-13.51312,982.6,2.32,-999.0,-999.0
3,-30.83139,-10.28605,9.6,4.96,0.191,-999.0
3,-30.83139,-10.28605,31.8,5.84,0.347,-999.0
3,-30.83139,-10.28605,55.9,5.91,0.186,-999.0
3,-30.83139,-10.28605,60.6,4.75,-999.0,-999.0
3,-30.83139,-10.28605,101.0,4.74,0.139,-999.0
3,-30.83139,-10.28605,110.2,-999.0,-999.0,-999.0
3,-30.83139,-10.28605,119.3,6.21,0.145,-999.0
3,-30.83139,-10.28605,126.3,4.21,0.079,-999.0
3,-30.83139,-10.28605,168.0,4.17,0.055,-999.0
3,-30.83139,-10.28605,242.7,4.43,-999.0,-999.0
3,-28.9944,-6.34029,10.3,4.96,0.094,-999.0
3,-28.9944,-6.34029,18.4,4.3,0.13,-999.0
3,-28.9944,-6.34029,23.6,5.22,0.119,-999.0
3,-28.9944,-6.34029,33.3,5.58,0.128,-999.0
3,-28.9944,-6.34029,58.2,5.14,0.128,-999.0
3,-28.9944,-6.34029,73.5,4.96,0.088,-999.0
3,-28.9944,-6.34029,83.2,5.36,0.121,-999.0
3,-28.9944,-6.34029,107.6,3.88,0.041,-999.0
3,-28.9944,-6.34029,126.8,-999.0,-999.0,-999.0
3,-28.9944,-6.34029,175.4,1.02,-999.0,-999.0
3,-28.9944,-6.34029,249.7,0.94,-999.0,-999.0
3,-27.10071,-2.22507,53.0,5.87,0.284,-999.0
3,-27.10071,-2.22507,58.4,-999.0,-999.0,-999.0
3,-27.10071,-2.22507,63.3,-999.0,-999.0,-999.0
3,-27.10071,-2.22507,102.5,-999.0,0.254,-999.0
3,-27.10071,-2.22507,179.2,-999.0,-999.0,-999.0
3,-27.10071,-2.22507,252.9,-999.0,-999.0,-999.0
3,-25.26049,1.94233,10.2,4.77,0.15,-999.0
3,-25.26049,1.94233,18.3,6.03,0.15,-999.0
3,-25.26049,1.94233,27.1,4.75,0.155,-999.0
3,-25.26049,1.94233,57.6,-999.0,-999.0,-999.0
3,-25.26049,1.94233,62.8,5.06,0.169,-999.0
3,-25.26049,1.94233,73.0,-999.0,-999.0,-999.0
3,-25.26049,1.94233,81.5,-999.0,-999.0,-999.0
3,-25.26049,1.94233,112.2,-999.0,-999.0,-999.0
3,-25.26049,1.94233,152.8,0.97,-999.0,-999.0
3,-25.26049,1.94233,200.5,3.76,-999.0,-999.0
3,-23.4503,6.09809,1.9,5.77,-999.0,-999.0
3,-23.4503,6.09809,9.3,5.59,0.092,-999.0
3,-23.4503,6.09809,17.6,9.34,0.136,-999.0
3,-23.4503,6.09809,23.0,5.58,0.153,-999.0
3,-23.4503,6.09809,26.9,5.57,0.142,-999.0
3,-23.4503,6.09809,37.2,6.23,0.157,-999.0
3,-23.4503,6.09809,46.9,4.34,0.033,-999.0
3,-23.4503,6.09809,56.3,4.45,0.092,-999.0
3,-23.4503,6.09809,77.3,4.74,0.104,-999.0
3,-23.4503,6.09809,102.1,4.67,0.09,-999.0
3,-23.4503,6.09809,151.1,3.09,-999.0,-999.0
3,-21.65501,10.20415,2.8,-999.0,0.067,-999.0
3,-21.65501,10.20415,9.8,5.9,0.083,-999.0
3,-21.65501,10.20415,16.9,5.72,0.058,-999.0
3,-21.65501,10.20415,21.5,6.48,0.046,-999.0
3,-21.65501,10.20415,33.5,4.27,0.094,-999.0
3,-21.65501,10.20415,46.1,2.98,0.079,-999.0
3,-21.65501,10.20415,76.9,1.68,-999.0,-999.0
3,-21.65501,10.20415,103.7,1.65,0.113,-999.0
3,-21.65501,10.20415,150.9,-999.0,-999.0,-999.0
3,-21.65501,10.20415,199.9,4.76,-999.0,-999.0
3,-20.65577,12.46872,10.3,4.69,0.116,-999.0
3,-20.65577,12.46872,42.3,3.67,-999.0,-999.0
3,-20.65577,12.46872,50.0,5.64,0.159,-999.0
3,-20.65577,12.46872,57.5,2.65,-999.0,-999.0
3,-20.65577,12.46872,76.1,-999.0,-999.0,-999.0
3,-20.65577,12.46872,150.6,3.05,0.027,-999.0
3,-20.65577,12.46872,199.9,-999.0,-999.0,-999.0
3,-21.56264,23.68236,10.6,2.96,0.013,-999.0
3,-21.56264,23.68236,18.9,4.67,-999.0,-999.0
3,-21.56264,23.68236,23.6,4.47,0.081,-999.0
3,-21.56264,23.68236,42.4,5.01,0.106,-999.0
3,-21.56264,23.68236,60.4,4.28,-999.0,-999.0
3,-21.56264,23.68236,71.4,4.53,0.112,-999.0
3,-21.56264,23.68236,77.0,-999.0,0.026,-999.0
3,-21.56264,23.68236,81.4,5.3,0.037,-999.0
3,-21.56264,23.68236,94.2,5.59,-999.0,-999.0
3,-21.56264,23.68236,114.6,5.09,0.042,-999.0
3,-21.56264,23.68236,161.4,3.51,0.05,-999.0
3,-21.56264,23.68236,232.4,2.92,-999.0,-999.0
3,-21.96233,27.53359,10.2,6.55,0.042,-999.0
3,-21.96233,27.53359,17.9,8.31,0.059,-999.0
3,-21.96233,27.53359,22.6,5.12,0.021,-999.0
3,-21.96233,27.53359,32.8,4.22,0.021,-999.0
3,-21.96233,27.53359,55.9,4.2,0.034,-999.0
3,-21.96233,27.53359,62.5,5.09,-999.0,-999.0
3,-21.96233,27.53359,82.1,4.21,0.071,-999.0
3,-21.96233,27.53359,97.2,-999.0,-999.0,-999.0
3,-21.96233,27.53359,107.7,4.35,0.091,-999.0
3,-21.96233,27.53359,119.1,2.92,-999.0,-999.0
3,-21.96233,27.53359,172.0,3.21,0.05,-999.0
4,-19.99471,35.9994,10.2,5.33,0.091,-999.0
4,-19.99471,35.9994,18.1,7.57,0.121,-999.0
4,-19.99471,35.9994,23.1,-999.0,0.241,-999.0
4,-19.99471,35.9994,32.9,4.69,0.085,-999.0
4,-19.99471,35.9994,42.7,3.71,0.036,-999.0
4,-19.99471,35.9994,53.0,4.96,0.089,-999.0
4,-19.99471,35.9994,62.7,6.81,0.117,-999.0
4,-19.99471,35.9994,76.8,4.69,0.096,-999.0
4,-19.99471,35.9994,102.3,3.54,0.06,-999.0
4,-19.99471,35.9994,152.1,4.93,0.113,-999.0
4,-19.99471,35.9994,202.0,4.48,0.041,-999.0
4,-20.00355,38.86688,8.9,4.94,0.083,-999.0
4,-20.00355,38.86688,17.0,3.51,0.082,-999.0
4,-20.00355,38.86688,22.5,4.68,0.121,-999.0
4,-20.00355,38.86688,42.5,3.28,0.11,-999.0
4,-20.00355,38.86688,61.1,4.54,0.1,-999.0
4,-20.00355,38.86688,76.1,-999.0,-999.0,-999.0
4,-20.00355,38.86688,110.2,4.89,0.078,-999.0
4,-20.00355,38.86688,125.3,4.26,0.103,-999.0
4,-20.00355,38.86688,138.9,3.94,0.084,-999.0
4,-20.00355,38.86688,198.4,2.52,0.048,-999.0
4,-12.83378,48.20472,9.7,10.24,0.149,-999.0
4,-12.83378,48.20472,22.4,11.09,0.205,-999.0
4,-12.83378,48.20472,32.1,4.64,0.134,-999.0
4,-12.83378,48.20472,41.6,-999.0,-999.0,-999.0
4,-12.83378,48.20472,51.3,4.11,0.059,-999.0
4,-12.83378,48.20472,76.0,4.95,0.053,-999.0
4,-12.83378,48.20472,98.7,5.25,0.158,-999.0
4,-12.83378,48.20472,122.7,2.7,0.075,-999.0
4,-12.83378,48.20472,147.9,4.24,0.063,-999.0
4,-6.00458,49.31969,9.8,7.82,0.19,-999.0
4,-6.00458,49.31969,17.8,7.02,0.151,-999.0
4,-6.00458,49.31969,22.4,4.48,0.108,-999.0
4,-6.00458,49.31969,32.1,4.83,0.082,-999.0
4,-6.00458,49.31969,42.7,3.72,0.104,-999.0
4,-6.00458,49.31969,52.5,6.89,0.155,-999.0
4,-6.00458,49.31969,61.9,5.21,0.122,-999.0
4,-6.00458,49.31969,71.8,-999.0,-999.0,-999.0
4,-6.00458,49.31969,92.0,-999.0,-999.0,-999.0
4,-24.99598,-5.32086,0.7,5.42,0.02,-999.0
4,-24.99598,-5.32086,9.9,4.55,0.02,-999.0
4,-24.99598,-5.32086,24.5,5.29,0.04,-999.0
4,-24.99598,-5.32086,50.2,6.19,0.08,-999.0
4,-24.99598,-5.32086,74.6,5.42,0.02,-999.0
4,-24.99598,-5.32086,83.8,4.7,0.08,-999.0
4,-24.99598,-5.32086,124.5,1.35,0.02,-999.0
4,-24.99598,-5.32086,150.0,2.56,-999.0,-999.0
4,-24.99598,-5.32086,174.7,2.19,-999.0,-999.0
4,-24.99598,-5.32086,200.1,1.72,-999.0,-999.0
4,-24.99598,-5.32086,249.3,2.97,-999.0,-999.0
4,-24.99598,-5.32086,299.7,-999.0,-999.0,-999.0
4,-26.30656,2.21134,0.9,5.14,-999.0,-999.0
4,-26.30656,2.21134,9.2,4.93,-999.0,-999.0
4,-26.30656,2.21134,23.5,4.82,0.07,-999.0
4,-26.30656,2.21134,48.6,6.01,0.06,-999.0
4,-26.30656,2.21134,62.7,4.16,0.14,-999.0
4,-26.30656,2.21134,99.2,1.23,0.11,-999.0
4,-26.30656,2.21134,123.7,-999.0,-999.0,-999.0
4,-26.30656,2.21134,148.9,-999.0,-999.0,-999.0
4,-26.30656,2.21134,173.7,-999.0,-999.0,-999.0
4,-26.30656,2.21134,198.5,-999.0,-999.0,-999.0
4,-26.30656,2.21134,249.4,-999.0,-999.0,-999.0
4,-26.30656,2.21134,299.3,-999.0,-999.0,-999.0
4,-28.48376,5.91607,1.5,5.33,0.11,-999.0
4,-28.48376,5.91607,9.9,5.43,0.14,-999.0
4,-28.48376,5.91607,24.7,5.63,0.13,-999.0
4,-28.48376,5.91607,49.2,4.72,0.14,-999.0
4,-28.48376,5.91607,65.5,4.95,0.07,-999.0
4,-28.48376,5.91607,99.5,2.59,0.06,-999.0
4,-28.48376,5.91607,124.9,0.9,0.06,-999.0
4,-28.48376,5.91607,150.0,-999.0,-999.0,-999.0
4,-28.48376,5.91607,174.5,1.13,0.02,-999.0
4,-28.48376,5.91607,199.6,-999.0,-999.0,-999.0
4,-28.48376,5.91607,249.6,2.54,-999.0,-999.0
4,-28.48376,5.91607,300.4,1.46,-999.0,-999.0
5,-30.67717,9.56324,0.8,-999.0,-999.0,-999.0
5,-30.67717,9.56324,10.1,5.04,0.02,-999.0
5,-30.67717,9.56324,24.5,-999.0,-999.0,-999.0
5,-30.67717,9.56324,49.8,3.72,-999.0,-999.0
5,-30.67717,9.56324,59.1,2.26,0.06,-999.0
5,-30.67717,9.56324,99.9,-999.0,-999.0,-999.0
5,-30.67717,9.56324,124.7,-999.0,-999.0,-999.0
5,-30.67717,9.56324,150.1,-999.0,-999.0,-999.0
5,-30.67717,9.56324,174.6,-999.0,-999.0,-999.0
5,-30.67717,9.56324,199.2,1.28,-999.0,-999.0
5,-30.67717,9.56324,249.6,1.31,-999.0,-999.0
5,-30.67717,9.56324,300.2,-999.0,-999.0,-999.0
5,-32.28619,12.23537,1.7,5.76,0.04,-999.0
5,-32.28619,12.23537,9.1,5.89,0.03,-999.0
5,-32.28619,12.23537,23.9,4.99,0.02,-999.0
5,-32.28619,12.23537,48.7,3.9,-999.0,-999.0
5,-32.28619,12.23537,68.7,5.45,-999.0,-999.0
5,-32.28619,12.23537,99.0,2.66,-999.0,-999.0
5,-32.28619,12.23537,123.9,3.55,-999.0,-999.0
5,-32.28619,12.23537,149.3,1.94,-999.0,-999.0
5,-32.28619,12.23537,174.0,2.94,-999.0,-999.0
5,-32.28619,12.23537,199.8,3.44,-999.0,-999.0
5,-32.28619,12.23537,249.7,3.89,-999.0,-999.0
5,-32.28619,12.23537,300.0,-999.0,-999.0,-999.0
5,-34.23054,15.4484,1.7,4.46,0.06,-999.0
5,-34.23054,15.4484,10.5,4.9,0.06,-999.0
5,-34.23054,15.4484,25.7,5.54,0.05,-999.0
5,-34.23054,15.4484,50.3,5.26,0.05,-999.0
