lon,lat,depth,dFe_obs
210.01,-16.0018,20.0,0.54
210.01,-16.0018,35.0,0.44
210.01,-16.0019,50.0,0.48
210.01,-16.0019,80.0,0.4
210.01,-16.002,100.0,0.39
210.009,-16.0021,125.5,0.41
210.009,-16.0022,150.5,0.3
210.009,-16.0022,200.5,0.3
210.008,-16.0021,251.0,0.32
210.006,-16.0016,501.5,0.45
210.006,-16.0018,704.0,0.98
210.005,-16.0016,820.0,1.21
210.0,-16.9995,19.8,0.53
210.0,-16.9995,40.0,0.31
210.0,-16.9995,64.6,0.21
210.0,-16.9995,85.4,0.25
210.0,-16.9995,104.7,0.26
210.0,-16.9995,135.6,0.25
210.0,-16.9995,185.0,0.24
210.0,-16.9995,286.7,0.26
210.0,-16.9995,473.1,0.37
210.0,-16.9995,724.2,0.77
210.0,-16.9995,855.0,0.93
209.999,-17.9992,20.2,0.83
209.999,-17.9992,34.8,0.23
209.999,-17.9992,54.8,0.34
209.999,-17.9992,90.5,0.28
209.999,-17.9992,120.3,0.19
209.999,-17.9993,169.9,0.23
209.999,-17.9993,219.5,0.27
209.999,-17.9994,270.2,0.17
209.999,-17.9994,441.0,0.25
209.999,-17.9994,721.7,0.53
209.999,-17.9993,850.1,0.79
210.0,-18.9996,20.8,0.46
210.0,-18.9996,34.2,0.48
210.0,-18.9996,49.9,0.6
210.0,-18.9996,80.4,0.44
210.0,-18.9996,95.4,0.39
210.0,-18.9996,100.8,0.37
210.0,-18.9996,125.8,0.33
210.0,-18.9996,200.8,0.55
210.0,-18.9996,252.3,0.44
210.0,-18.9996,502.8,0.46
210.0,-18.9996,705.8,0.76
210.0,-18.9996,854.8,0.85
210.0,-20.0,18.7,0.29
210.0,-20.0001,39.8,0.29
210.0,-20.0,64.5,0.25
210.0,-20.0,85.3,0.32
210.0,-19.9999,105.1,0.29
210.0,-19.9999,135.9,0.28
210.0,-20.0001,187.1,0.23
210.0,-20.0001,236.5,0.27
210.0,-20.0,286.7,0.29
210.0,-20.0,488.6,0.42
210.0,-20.0,674.2,0.54
210.0,-20.0,849.9,0.73
210.0,-21.0002,18.2,0.14
210.0,-21.0002,32.8,0.12
210.0,-21.0002,52.9,0.15
210.0,-21.0002,66.5,0.15
210.0,-21.0003,86.8,0.19
210.0,-21.0002,117.7,0.14
210.0,-21.0002,169.3,0.13
210.0,-21.0002,218.8,0.26
210.0,-21.0002,269.0,0.21
210.0,-21.0002,470.5,0.26
210.0,-21.0002,642.6,0.38
210.0,-21.0002,844.8,0.52
210.0,-22.0,15.5,0.22
210.0,-22.0,31.4,0.21
210.0,-22.0,49.4,0.12
210.0,-22.0,79.2,0.12
210.0,-22.0,101.7,0.28
210.0,-22.0,125.8,0.14
210.0,-22.0,151.0,0.12
210.0,-22.0,201.4,0.13
210.0,-22.0,251.3,0.2
210.0,-22.0,502.1,0.28
210.0,-22.0,707.4,0.49
210.0,-22.0,856.7,0.48
210.0,-22.9998,14.3,0.231
210.0,-22.9998,39.5,0.251
210.0,-22.9998,64.4,0.161
210.0,-22.9997,85.2,0.181
210.0,-22.9998,106.0,0.201
210.0,-22.9997,134.9,0.131
210.0,-22.9998,184.9,0.141
210.0,-22.9997,236.7,0.161
